common_name,botanical_name,plant_url
Bush Sunflower,Encelia californica,//legacy.calscape.org/qrcodes/Encelia-californica(192)
Red Bush Monkeyflower,Diplacus aurantiacus var. puniceus,//legacy.calscape.org/qrcodes/Diplacus-aurantiacus-var.-puniceus(192)
Sea Cliff Buckwheat,Eriogonum parvifolium,//legacy.calscape.org/qrcodes/Eriogonum-parvifolium(192)
Purple Sage,Salvia leucophylla,//legacy.calscape.org/qrcodes/Salvia-leucophylla(192)
California Poppy,Eschscholzia californica,//legacy.calscape.org/qrcodes/Eschscholzia-californica(192)
Ocotillo,Fouquieria splendens,//legacy.calscape.org/qrcodes/Fouquieria-splendens(192)
Giant Chain Fern,Woodwardia fimbriata,//legacy.calscape.org/qrcodes/Woodwardia-fimbriata(192)
Torrey Pine,Pinus torreyana,//legacy.calscape.org/qrcodes/Pinus-torreyana(192)
Coast Barberry,Berberis pinnata,//legacy.calscape.org/qrcodes/Berberis-pinnata(192)
Santa Barbara Ceanothus,Ceanothus impressus,//legacy.calscape.org/qrcodes/Ceanothus-impressus(192)
Nevin's Woolly Sunflower,Constancea nevinii,//legacy.calscape.org/qrcodes/Constancea-nevinii(192)
Willowy Monardella,Monardella linoides,//legacy.calscape.org/qrcodes/Monardella-linoides(192)
Chaparral Mallow,Malacothamnus fasciculatus,//legacy.calscape.org/qrcodes/Malacothamnus-fasciculatus(192)
California Sagebrush,Artemisia californica,//legacy.calscape.org/qrcodes/Artemisia-californica(192)
Hollyleaf Cherry,Prunus ilicifolia ssp. ilicifolia,//legacy.calscape.org/qrcodes/Prunus-ilicifolia-ssp.-ilicifolia(192)
Showy Milkweed,Asclepias speciosa,//legacy.calscape.org/qrcodes/Asclepias-speciosa(192)
Cardinal Catchfly,Silene laciniata ssp. laciniata,//legacy.calscape.org/qrcodes/Silene-laciniata-ssp.-laciniata(192)
Parry's Nolina,Nolina parryi,//legacy.calscape.org/qrcodes/Nolina-parryi(192)
Thimbleberry,Rubus parviflorus,//legacy.calscape.org/qrcodes/Rubus-parviflorus(192)
